Hebrew Text,Hebrew Gloss
הטבח הכין סלט מירקות טריים,טבח הכין סלט ירקות טריים
התלמידים למדו מתמטיקה בכיתה,תלמידים למדו מתמטיקה כיתה
האישה סרגה צעיף מצמר רך,אישה סרג צעיף צמר רך
הילד בנה ארמון מחול בחוף,ילד בנה ארמון חול חוף
הספרן סידר ספרים על מדפים בספרייה,ספרן סידר ספרים מדפים ספרייה
הרופא בדק חולים במרפאה בבוקר,רופא בדק חולים מרפאה בוקר
האחות מדדה לחץ דם למטופל,אחות מדדה לחץ דם מטופל
הנהג נסע במהירות ברחובות,נהג נסע מהירות רחובות
האוטובוס עצר בתחנה ליד בית ספר,אוטובוס עצר תחנה בית ספר
המוכרת ארזה מתנות בשקיות צבעוניות,מוכרת ארזה מתנות שקיות צבעוניות
הלקוח שילם במזומן בקופה,לקוח שילם מזומן קופה
השומר פתח שער בחנייה בערב,שומר פתח שער חנייה ערב
הגנן שתל עצים בגינה ציבורית,גנן שתל עצים גינה ציבורית
החייל שמר על מוצב בגבול בלילה,חייל שמר מוצב גבול לילה
"השוטר רשם דו""ח לנהג","שוטר רשם דו""ח נהג"
הכבאי כיבה שריפה בבניין מגורים,כבאי כיבה שריפה בניין מגורים
הטייס הטיס מטוס מעל הרים,טייס הטיס מטוס הרים
הימאי הוריד מפרשים בסערה,ימאי הוריד מפרשים סערה
הצוללן צילם דגים מתחת למים,צוללן צילם דגים מים
האסטרונאוט תיקן לוויין בחלל,אסטרונאוט תיקן לוויין חלל
החקלאי קטף עגבניות בשדה גדול,חקלאי קטף עגבניות שדה גדול
הדייג זרק חכה לים עמוק,דייג זרק חכה ים עמוק
הנגר בנה שולחן מאיכות טובה,נגר בנה שולחן איכות טובה
החשמלאי חיבר נורות בחדר מדרגות,חשמלאי חיבר נורות חדר מדרגות
האינסטלטור תיקן צינור בחדר אמבטיה,אינסטלטור תיקן צינור חדר אמבטיה
המתכנת כתב קוד לתוכנה חדשה,מתכנת כתב קוד תוכנה חדשה
המהנדס תכנן גשר מעל נהר רחב,מהנדס תכנן גשר נהר רחב
האדריכל תכנן בית עם חצר גדולה,אדריכל תכנן בית חצר גדולה
השופט פסק דין בתיק מורכב היום,שופט פסק דין תיק מורכב היום
העורך ערך כתבה על אירוע חשוב,עורך ערך כתבה אירוע חשוב
הצלם צילם תמונות של ילדים בפארק,צלם צילם תמונות ילדים פארק
המעצב עיצב לוגו לחברה חדשה,מעצב עיצב לוגו חברה חדשה
המוכר מכר בגדים ללקוחות בחנות,מוכר מכר בגדים לקוחות חנות
הנהג הסיע תלמידים לבית ספר בבוקר,נהג הסיע תלמידים בית ספר בוקר
הדואר חילק מכתבים לבתים ברחוב,דואר חילק מכתבים בתים רחוב
המורה לימדה חשבון לתלמידים בכיתה,מורה לימדה חשבון תלמידים כיתה
המרצה העביר שיעור על היסטוריה באוניברסיטה,מרצה העביר שיעור היסטוריה אוניברסיטה
המדריך הדריך קבוצת מטיילים בהרים,מדריך הדריך קבוצת מטיילים הרים
המאמן אימן שחקני כדורסל במגרש,מאמן אימן שחקני כדורסל מגרש
השחקן התאמן על תפקיד ראשי בהצגה,שחקן התאמן תפקיד ראשי הצגה
הזמר שר שיר חדש במופע בערב,זמר שר שיר חדש מופע ערב
המלחין כתב יצירה סימפונית לתזמורת,מלחין כתב יצירה סימפונית תזמורת
הרקדן רקד ריקוד מודרני על הבמה,רקדן רקד ריקוד מודרני במה
השופט שרק לסיום המשחק במגרש,שופט שרק סיום משחק מגרש
הפרשן ניתח מהלכים במשחק כדורגל,פרשן ניתח מהלכים משחק כדורגל
האוהד עודד קבוצה במגרש ספורט,אוהד עודד קבוצה מגרש ספורט
הצליין התפלל בית כנסת שבת,צליין התפלל בית כנסת שבת
המתנדב עזר קשישים בית אבות בצהריים,מתנדב עזר קשישים בית אבות צהריים
התורם תרם בגדים ילדים נזקקים,תורם תרם בגדים ילדים נזקקים
האומן צייר ציור קיר בית ספר,אומן צייר ציור קיר בית ספר
הפסל יצר פסל ברונזה גן ציבורי,פסל יצר פסל ברונזה גן ציבורי
הסופר כתב ספר ילדים חדש חורף,סופר כתב ספר ילדים חדש חורף
המשורר כתב שיר אהבה אביב,משורר כתב שיר אהבה אביב
השחקן שיחק סרט קולנוע קיץ,שחקן שיחק סרט קולנוע קיץ
הבמאי ביים סדרה חדשה טלוויזיה סתיו,במאי ביים סדרה חדשה טלוויזיה סתיו
הרופא ביצע ניתוח מורכב בית חולים,רופא ביצע ניתוח מורכב בית חולים
האחות הכינה תרופות מטופלים מרפאה,אחות הכינה תרופות מטופלים מרפאה
החייל סייר שטח אויב לילה,חייל סייר שטח אויב לילה
השוטר תפס חשוד גניבה בוקר,שוטר תפס חשוד גניבה בוקר
הכבאי חילץ לכודים בניין בוער ערב,כבאי חילץ לכודים בניין בוער ערב
הטייס הנחית מטוס תנאי מזג אוויר קשים,טייס הנחית מטוס תנאי מזג אוויר קשים
הימאי תיקן תקלה מנוע ספינה,ימאי תיקן תקלה מנוע ספינה
הצוללן גילה מינים חדשים עומק ים,צוללן גילה מינים חדשים עומק ים
האסטרונאוט ערך ניסויים חלל תחנת חלל,אסטרונאוט ערך ניסויים חלל תחנת חלל
החקלאי זרע חיטה שדה גדול אביב,חקלאי זרע חיטה שדה גדול אביב
ילד,ילד
אישה,אישה
כלב,כלב
חתול,חתול
מוזיקה,מוזיקה
ים,ים
פרחים,פרחים
עברית,עברית
קפה,קפה
צחוק,צחוק
מכתב,מכתב
סרט,סרט
כדורגל,כדורגל
שיר,שיר
עיתון,עיתון
ארוחת ערב,ארוחת ערב
ארוחת צהריים,ארוחת צהריים
בית ספר,בית ספר
בית,בית
משרד,משרד
מכונית,מכונית
טבע,טבע
תמונה,תמונה
בגדים,בגדים
בריכה,בריכה
מחשב,מחשב
טלפון,טלפון
שאלה,שאלה
תשובה,תשובה
מבחן,מבחן
עוגה,עוגה
גינה,גינה
טלוויזיה,טלוויזיה
פסנתר,פסנתר
חדר,חדר
צמחים,צמחים
משחקים,משחקים
סיפור,סיפור
מייל,מייל
הודעות,הודעות
אוזניות,אוזניות
סנדוויץ,סנדוויץ
ארוחת בוקר,ארוחת בוקר
תה,תה
מעיל,מעיל
נעליים,נעליים
כובע,כובע
משקפיים,משקפיים
טיול,טיול
עבודה,עבודה
חברים,חברים
סופרמרקט,סופרמרקט
חנות,חנות
תור,תור
דלת,דלת
חלון,חלון
אור,אור
מזגן,מזגן
שמש,שמש
רוח,רוח
ילדים,ילדים
ציפורים,ציפורים
ירח,ירח
גשם,גשם
שלג,שלג
נהר,נהר
אגם,אגם
עצים,עצים
דשא,דשא
אש,אש
מים,מים
אדמה,אדמה
כוכבים,כוכבים
עננים,עננים
קשת,קשת
דבורים,דבורים
פרפרים,פרפרים
נמלים,נמלים
עכביש,עכביש
צב,צב
נחש,נחש
עורב,עורב
ינשוף,ינשוף
דגים,דגים
אריות,אריות
ג'ירפות,ג'ירפות
קופים,קופים
פילים,פילים
זאבים,זאבים
דולפינים,דולפינים
לווייתנים,לווייתנים
כרישים,כרישים
צבים,צבים
ינשופים,ינשופים
עטלפים,עטלפים
שועלים,שועלים
ארנבות,ארנבות
סנאים,סנאים
קיפודים,קיפודים
צפרדעים,צפרדעים
לטאות,לטאות
נחליאליים,נחליאליים
שחפים,שחפים
בזים,בזים
נשרים,נשרים
תנשמות,תנשמות
עורבים,עורבים
דרורים,דרורים
יונים,יונים
תוכים,תוכים
טווסים,טווסים
פינגווינים,פינגווינים
שולחן,שולחן
כיסא,כיסא
קיר,קיר
רצפה,רצפה
תקרה,תקרה
מדרגות,מדרגות
גג,גג
מרפסת,מרפסת
חצר,חצר
עץ,עץ
פרח,פרח
שביל,שביל
גדר,גדר
שער,שער
מפתח,מפתח
מנעול,מנעול
מנורה,מנורה
שקע,שקע
חוט,חוט
תקע,תקע
מאוורר,מאוורר
דוד,דוד
ברז,ברז
כיור,כיור
אסלה,אסלה
מקלחת,מקלחת
אמבטיה,אמבטיה
מגבת,מגבת
סבון,סבון
שמפו,שמפו
מברשת שיניים,מברשת שיניים
משחת שיניים,משחת שיניים
מראה,מראה
מסרק,מסרק
בושם,בושם
איפור,איפור
גרביים,גרביים
חולצה,חולצה
מכנסיים,מכנסיים
שמלה,שמלה
חצאית,חצאית
צעיף,צעיף
כפפות,כפפות
ארנק,ארנק
מטבעות,מטבעות
שטרות,שטרות
כרטיס אשראי,כרטיס אשראי
מקלדת,מקלדת
עכבר,עכבר
מסך,מסך
מדפסת,מדפסת
סורק,סורק
אינטרנט,אינטרנט
הודעה,הודעה
סרטון,סרטון
ספר,ספר
מגזין,מגזין
מחברת,מחברת
עיפרון,עיפרון
עט,עט
סרגל,סרגל
מחוגה,מחוגה
מחק,מחק
דבק,דבק
מספריים,מספריים
נייר,נייר
מעטפה,מעטפה
בול,בול
חבילה,חבילה
תיבה,תיבה
שקית,שקית
סל,סל
מזוודה,מזוודה
תיק,תיק
מטריה,מטריה
שעון,שעון
תכשיטים,תכשיטים
טבעת,טבעת
שרשרת,שרשרת
עגילים,עגילים
צמיד,צמיד
יהלום,יהלום
זהב,זהב
כסף,כסף
פלטינה,פלטינה
פנינה,פנינה
מחשבות,מחשבות
רגשות,רגשות
חלומות,חלומות
זיכרונות,זיכרונות
תקוות,תקוות
פחדים,פחדים
שאלות,שאלות
תשובות,תשובות
רעיונות,רעיונות
מילים,מילים
משפטים,משפטים
סיפורים,סיפורים
שירים,שירים
ספרים,ספרים
סרטים,סרטים
אמנות,אמנות
ציורים,ציורים
פסלים,פסלים
תמונות,תמונות
צבעים,צבעים
צורות,צורות
מרקמים,מרקמים
ריחות,ריחות
טעמים,טעמים
קולות,קולות
מגע,מגע
תנועה,תנועה
ריקוד,ריקוד
משחק,משחק
בכי,בכי
שמחה,שמחה
עצב,עצב
כעס,כעס
אהבה,אהבה
שנאה,שנאה
פחד,פחד
אומץ,אומץ
תקווה,תקווה
יאוש,יאוש
אמונה,אמונה
ספק,ספק
וודאות,וודאות
בלבול,בלבול
הבנה,הבנה
למידה,למידה
ידע,ידע
חוכמה,חוכמה
טיפשות,טיפשות
זמן,זמן
מקום,מקום
מרחק,מרחק
מהירות,מהירות
כיוון,כיוון
גודל,גודל
צורה,צורה
משקל,משקל
טמפרטורה,טמפרטורה
חושך,חושך
יום,יום
לילה,לילה
בוקר,בוקר
צהריים,צהריים
ערב,ערב
שבוע,שבוע
חודש,חודש
שנה,שנה
מאה,מאה
אלף,אלף
מיליון,מיליון
מיליארד,מיליארד
יקום,יקום
כדור הארץ,כדור הארץ
אוויר,אוויר
חיים,חיים
מוות,מוות
לידה,לידה
בגרות,בגרות
זקנה,זקנה
בריאות,בריאות
מחלה,מחלה
תרופה,תרופה
רופא,רופא
אחות,אחות
בית חולים,בית חולים
בית מרקחת,בית מרקחת
מדע,מדע
טכנולוגיה,טכנולוגיה
הנדסה,הנדסה
מתמטיקה,מתמטיקה
פיזיקה,פיזיקה
כימיה,כימיה
ביולוגיה,ביולוגיה
מדינה,מדינה
עיר,עיר
כפר,כפר
רחוב,רחוב
שכונה,שכונה
בניין,בניין
דירה,דירה
מטבח,מטבח
סלון,סלון
חדר שינה,חדר שינה
חדר אמבטיה,חדר אמבטיה
מעלית,מעלית
חניה,חניה
רמזור,רמזור
תמרור,תמרור
כביש,כביש
מדרכה,מדרכה
פארק,פארק
גן,גן
יער,יער
מדבר,מדבר
הר,הר
עמק,עמק
אי,אי
חוף,חוף
מערה,מערה
שדה,שדה
מטע,מטע
חווה,חווה
שוק,שוק
קניון,קניון
מסעדה,מסעדה
בית קפה,בית קפה
בית מלון,בית מלון
אוניברסיטה,אוניברסיטה
ספרייה,ספרייה
מוזיאון,מוזיאון
תיאטרון,תיאטרון
קולנוע,קולנוע
בנק,בנק
דואר,דואר
משטרה,משטרה
כבאות,כבאות
בית משפט,בית משפט
כנסייה,כנסייה
מסגד,מסגד
בית כנסת,בית כנסת
מקדש,מקדש
מפעל,מפעל
חברה,חברה
ממשלה,ממשלה
צבא,צבא
משפחה,משפחה
אמא,אמא
אבא,אבא
ילדה,ילדה
אח,אח
סבא,סבא
סבתא,סבתא
חבר,חבר
שכן,שכן
מורה,מורה
תלמיד,תלמיד
שוטר,שוטר
חייל,חייל
כבאי,כבאי
טייס,טייס
ימאי,ימאי
צוללן,צוללן
אסטרונאוט,אסטרונאוט
חקלאי,חקלאי
דייג,דייג
נגר,נגר
חשמלאי,חשמלאי
אינסטלטור,אינסטלטור
מתכנת,מתכנת
מהנדס,מהנדס
אדריכל,אדריכל
שופט,שופט
עורך,עורך
צלם,צלם
מעצב,מעצב
מוכר,מוכר
נהג,נהג
מרצה,מרצה
מדריך,מדריך
מאמן,מאמן
שחקן,שחקן
זמר,זמר
מלחין,מלחין
רקדן,רקדן
פרשן,פרשן
אוהד,אוהד
צליין,צליין
מתנדב,מתנדב
תורם,תורם
אומן,אומן
פסל,פסל
סופר,סופר
משורר,משורר
במאי,במאי
חוק,חוק
משפט,משפט
צדק,צדק
עוול,עוול
זכויות,זכויות
חובות,חובות
אזרחות,אזרחות
ממשל,ממשל
פוליטיקה,פוליטיקה
בחירות,בחירות
הצבעה,הצבעה
מפלגה,מפלגה
מנהיג,מנהיג
מלחמה,מלחמה
שלום,שלום
ביטחון,ביטחון
כלכלה,כלכלה
שכר,שכר
מסים,מסים
סחר,סחר
תעשייה,תעשייה
חקלאות,חקלאות
תחבורה,תחבורה
תקשורת,תקשורת
מחקר,מחקר
גילוי,גילוי
המצאה,המצאה
חינוך,חינוך
זיכרון,זיכרון
חשיבה,חשיבה
דמיון,דמיון
יצירתיות,יצירתיות
ציור,ציור
פיסול,פיסול
ספרות,ספרות
שירה,שירה
צילום,צילום
ספורט,ספורט
כדורסל,כדורסל
טניס,טניס
שחייה,שחייה
ריצה,ריצה
קפיצה,קפיצה
התעמלות,התעמלות
תחרות,תחרות
ניצחון,ניצחון
הפסד,הפסד
תזונה,תזונה
כושר,כושר
היגיינה,היגיינה
סביבה,סביבה
בעלי חיים,בעלי חיים
אקולוגיה,אקולוגיה
זיהום,זיהום
מיחזור,מיחזור
אנרגיה,אנרגיה
חשמל,חשמל
חלל,חלל
שינוי,שינוי
התפתחות,התפתחות
היסטוריה,היסטוריה
עתיד,עתיד
מידע,מידע
רגש,רגש
רצון,רצון
פעולה,פעולה
שפה,שפה
מילה,מילה
ביטוי,ביטוי
דיבור,דיבור
אבולוציה,אבולוציה
תרבות,תרבות
מבנה,מבנה
ארגון,ארגון
חלקים,חלקים
ביטויים,ביטויים
משמעות,משמעות
תכונות,תכונות
קטגוריות,קטגוריות
מרחב,מרחב
יחסים,יחסים
תפקיד,תפקיד
מקור,מקור
יעד,יעד
משתתפים,משתתפים
מאפיינים,מאפיינים
מיקום,מיקום
אופן,אופן
אילוצים,אילוצים
רקע,רקע
דמות,דמות
תפיסה,תפיסה
מדיום,מדיום
הקשר,הקשר
קהילה,קהילה
אופי,אופי
עיוורון,עיוורון
חירשות,חירשות
פנים,פנים
עיניים,עיניים
גבות,גבות
פה,פה
ידיים,ידיים
תנועות,תנועות
גוף,גוף
קשר,קשר
מערכת,מערכת
דקדוק,דקדוק
תחביר,תחביר
תפקידים,תפקידים
שם עצם,שם עצם
פועל,פועל
תיאור,תיאור
הסכמה,הסכמה
סימנים,סימנים
סיווג,סיווג
מרכיבים,מרכיבים
אמצעי,אמצעי
חזותי,חזותי
תבנית,תבנית
סדר,סדר
כללים,כללים
העברה,העברה
תחושות,תחושות
רצונות,רצונות
מטרות,מטרות
יצירה,יצירה
יכולת,יכולת
מערכות,מערכות
רמות,רמות
השפעה,השפעה
הבדלים,הבדלים
השחקן שכח את הטקסט שלו,שחקן שכח טקסט שלו
הסופר כתב ספר חדש על היסטוריה,סופר כתב ספר חדש היסטוריה
הרופא בדק את המטופל בבית חולים,רופא בדק מטופל בית חולים
המורה הסבירה את השיעור בכיתה,מורה הסבירה שיעור כיתה
הילד קיבל מתנה מיום הולדתו,ילד קיבל מתנה יום הולדת שלו
האישה קנתה בגדים חדשים בחנות,אישה קנתה בגדים חדשים חנות
הנהג נסע במהירות בכביש,נהג נסע במהירות כביש
התלמידים למדו למבחן במתמטיקה,תלמידים למדו מבחן מתמטיקה
השכנים שמעו רעש חזק בלילה,שכנים שמעו רעש חזק לילה
הזמר שר שירים חדשים במופע,זמר שר שירים חדשים מופע
האופה אפה עוגה טעימה ליום הולדת,אופה אפה עוגה טעימה יום הולדת
הטבח הכין ארוחה גדולה לאורחים,טבח הכין ארוחה גדולה אורחים
הספרן סידר את הספרים בספרייה,ספרן סידר ספרים ספרייה
החשמלאי תיקן את האור בחדר,חשמלאי תיקן אור חדר
האינסטלטור תיקן את הצינור במטבח,אינסטלטור תיקן צינור מטבח
המתכנת כתב קוד חדש לתוכנה,מתכנת כתב קוד חדש תוכנה
המהנדס תכנן גשר חדש מעל נהר,מהנדס תכנן גשר חדש נהר
האדריכל תכנן בית חדש על הגבעה,אדריכל תכנן בית חדש גבעה
השופט פסק דין בתיק מורכב,שופט פסק דין תיק מורכב
העורך ערך כתבה חשובה לעיתון,עורך ערך כתבה חשובה עיתון
הצלם צילם תמונות יפות בטבע,צלם צילם תמונות יפות טבע
המעצב עיצב לוגו חדש לחברה,מעצב עיצב לוגו חדש חברה
המוכר מכר מוצרים ללקוחות בחנות,מוכר מכר מוצרים לקוחות חנות
הנהג הסיע את הנוסעים לתחנה,נהג הסיע נוסעים תחנה
המרצה העביר הרצאה מעניינת באוניברסיטה,מרצה העביר הרצאה מעניינת אוניברסיטה
המדריך הדריך את המטיילים בשביל,מדריך הדריך מטיילים שביל
המאמן אימן את השחקנים במגרש,מאמן אימן שחקנים מגרש
השחקן התאמן על התפקיד בהצגה,שחקן התאמן תפקיד הצגה
הזמר שר שירים חדשים במועדון,זמר שר שירים חדשים מועדון
הפרשן ניתח את המהלכים במשחק כדורגל,פרשן ניתח מהלכים משחק כדורגל
האוהד עודד את הקבוצה במגרש ספורט,אוהד עודד קבוצה מגרש ספורט
הצליין התפלל בבית כנסת בשבת,צליין התפלל בית כנסת שבת
המתנדב עזר לקשישים בבית אבות,מתנדב עזר קשישים בית אבות
התורם תרם בגדים לילדים נזקקים,תורם תרם בגדים ילדים נזקקים
האומן צייר ציור קיר בבית ספר,אומן צייר ציור קיר בית ספר
הפסל יצר פסל ברונזה בגן ציבורי,פסל יצר פסל ברונזה גן ציבורי
הסופר כתב ספר ילדים חדש לחורף,סופר כתב ספר ילדים חדש חורף
המשורר כתב שיר אהבה לאביב,משורר כתב שיר אהבה אביב
השחקן שיחק בסרט קולנוע בקיץ,שחקן שיחק סרט קולנוע קיץ
הבמאי ביים סדרה חדשה לטלוויזיה בסתיו,במאי ביים סדרה חדשה טלוויזיה סתיו
הרופא ביצע ניתוח מורכב בבית חולים,רופא ביצע ניתוח מורכב בית חולים
האחות הכינה תרופות למטופלים במרפאה,אחות הכינה תרופות מטופלים מרפאה
החייל סייר בשטח אויב בלילה,חייל סייר שטח אויב לילה
השוטר תפס חשוד בגניבה בבוקר,שוטר תפס חשוד גניבה בוקר
הכבאי חילץ לכודים מבניין בוער בערב,כבאי חילץ לכודים בניין בוער ערב
הטייס הנחית מטוס בתנאי מזג אוויר קשים,טייס הנחית מטוס תנאי מזג אוויר קשים
הימאי תיקן תקלה במנוע הספינה,ימאי תיקן תקלה מנוע ספינה
הצוללן גילה מינים חדשים בעומק הים,צוללן גילה מינים חדשים עומק ים
האסטרונאוט ערך ניסויים בחלל בתחנת חלל,אסטרונאוט ערך ניסויים חלל תחנת חלל
החקלאי זרע חיטה בשדה גדול באביב,חקלאי זרע חיטה שדה גדול אביב
הדייג תפס דגים רבים ברשת בים,דייג תפס דגים רבים רשת ים
הנגר בנה ארון ספרים מעוצב מעץ,נגר בנה ארון ספרים מעוצב עץ
החשמלאי חיבר חוטים ללוח חשמל בבית,חשמלאי חיבר חוטים לוח חשמל בית
האינסטלטור התקין ברז חדש בחדר אמבטיה,אינסטלטור התקין ברז חדש חדר אמבטיה
המתכנת תיקן באג בתוכנה חדשה,מתכנת תיקן באג תוכנה חדשה
המהנדס תכנן גשר תלוי מעל נהר רחב,מהנדס תכנן גשר תלוי נהר רחב
האדריכל תכנן בית עם נוף לים,אדריכל תכנן בית נוף ים
העורך ערך כתבות למהדורה מיוחדת,עורך ערך כתבות מהדורה מיוחדת
הצלם צילם תמונות לאלבום חתונה,צלם צילם תמונות אלבום חתונה
המעצב עיצב לוגו חדש לחברה טכנולוגית,מעצב עיצב לוגו חדש חברה טכנולוגית
המוכר מכר בגדים ללקוחות בחנות בגדים,מוכר מכר בגדים לקוחות חנות בגדים
הנהג הסיע ילדים לבית ספר באוטובוס,נהג הסיע ילדים בית ספר אוטובוס
הדואר חילק חבילות לבתי מגורים ברחוב,דואר חילק חבילות בתי מגורים רחוב
המורה לימדה חשבון לתלמידים בכיתה בבוקר,מורה לימדה חשבון תלמידים כיתה בוקר
השחקנית למדה את התפקיד בעל פה,שחקנית למדה תפקיד בעל פה
הסופר פרסם ספר מתח חדש,סופר פרסם ספר מתח חדש
הרופאה רשמה מרשם לתרופה,רופאה רשמה מרשם תרופה
המורה הסבירה את החוקים למשחק,מורה הסבירה חוקים משחק
הילדה מצאה מטבע זהב בחוף הים,ילדה מצאה מטבע זהב חוף ים
האישה ארגנה מסיבת יום הולדת לחברים,אישה ארגנה מסיבת יום הולדת חברים
הנהג החנה את המכונית בחניה,נהג החנה מכונית חניה
התלמידים סיימו את המבחן בזמן,תלמידים סיימו מבחן זמן
השכנים התלוננו על רעש חזק מהדירה,שכנים התלוננו רעש חזק דירה
הזמרת הופיעה במופע בפסטיבל,זמרת הופיעה מופע פסטיבל
האופה הכין עוגיות שוקולד לילדים,אופה הכין עוגיות שוקולד ילדים
הטבח הגיש מנה עיקרית לאורחים,טבח הגיש מנה עיקרית אורחים
הספרן המליץ על ספרים חדשים לקריאה,ספרן המליץ ספרים חדשים קריאה
החשמלאי התקין נורות לד בבית,חשמלאי התקין נורות לד בית
האינסטלטור תיקן את הדליפה בצינור,אינסטלטור תיקן דליפה צינור
המתכנת פיתח אפליקציה חדשה לטלפון,מתכנת פיתח אפליקציה חדשה טלפון
המהנדס תכנן גשר תלוי מעל עמק,מהנדס תכנן גשר תלוי עמק
האדריכל תכנן בית עם בריכה בחצר,אדריכל תכנן בית בריכה חצר
השופט גזר דין על הנאשם בבית המשפט,שופט גזר דין נאשם בית משפט
העורך אישר כתבה לפרסום בעיתון,עורך אישר כתבה פרסום עיתון
הצלם צילם תמונות נוף בהרים,צלם צילם תמונות נוף הרים
המעצב עיצב אתר אינטרנט חדש,מעצב עיצב אתר אינטרנט חדש
המוכר מכר מוצרים בהנחה ללקוחות,מוכר מכר מוצרים הנחה לקוחות
הנהג הסיע תיירים לסיור בעיר,נהג הסיע תיירים סיור עיר
הדואר שלח חבילות ללקוחות ברחבי הארץ,דואר שלח חבילות לקוחות רחבי ארץ
המרצה העביר סדנה בנושא תקשורת,מרצה העביר סדנה נושא תקשורת
המדריך הדריך קבוצת מטיילים בטבע,מדריך הדריך קבוצת מטיילים טבע
המאמן אימן את השחקנים לקראת משחק,מאמן אימן שחקנים לקראת משחק
השחקן הופיע בהצגה בתיאטרון,שחקן הופיע הצגה תיאטרון
הזמר הלחין שיר חדש לאלבום,זמר הלחין שיר חדש אלבום
המלחין כתב סימפוניה חדשה לתזמורת,מלחין כתב סימפוניה חדשה תזמורת
הרקדן ביצע ריקוד מודרני במופע,רקדן ביצע ריקוד מודרני מופע
השופט שרק לסיום המשחק בכדורסל,שופט שרק סיום משחק כדורסל
הפרשן ניתח את המהלכים במשחק טניס,פרשן ניתח מהלכים משחק טניס
האוהד עידד את הקבוצה במגרש כדורגל,אוהד עידד קבוצה מגרש כדורגל
הצליין התפלל בכותל המערבי בירושלים,צליין התפלל כותל מערבי ירושלים
המתנדב עזר לנזקקים בחלוקת מזון,מתנדב עזר נזקקים חלוקת מזון
התורם תרם כסף לעמותה לילדים,תורם תרם כסף עמותה ילדים
האומן צייר ציור קיר בבית קפה,אומן צייר ציור קיר בית קפה
הפסל יצר פסל אבן בגינה ציבורית,פסל יצר פסל אבן גינה ציבורית
הסופר כתב רומן היסטורי חדש,סופר כתב רומן היסטורי חדש
המשורר כתב שיר אהבה חדש,משורר כתב שיר אהבה חדש
השחקן שיחק בסרט פעולה חדש,שחקן שיחק סרט פעולה חדש
הבמאי ביים סדרה דוקומנטרית לטלוויזיה,במאי ביים סדרה דוקומנטרית טלוויזיה
הרופא ביצע ניתוח לב בבית חולים,רופא ביצע ניתוח לב בית חולים
האחות הכינה תרופות למטופלים במחלקה,אחות הכינה תרופות מטופלים מחלקה
החייל סייר בשטח אויב עם צוות,חייל סייר שטח אויב צוות
השוטר תפס חשוד ברצח בבוקר,שוטר תפס חשוד רצח בוקר
הטייס הנחית מטוס בתנאי ראות קשים,טייס הנחית מטוס תנאי ראות קשים
הימאי תיקן תקלה במנוע ספינה בים,ימאי תיקן תקלה מנוע ספינה ים
הצוללן גילה מינים חדשים בעומק הים האדום,צוללן גילה מינים חדשים עומק ים אדום
האסטרונאוט ערך ניסויים בחלל בתחנת חלל בינלאומית,אסטרונאוט ערך ניסויים חלל תחנת חלל בינלאומית
החקלאי זרע חיטה בשדה גדול בדרום,חקלאי זרע חיטה שדה גדול דרום
הדייג תפס דגים רבים ברשת בכינרת,דייג תפס דגים רבים רשת כינרת
הנגר בנה ארון ספרים מעוצב מעץ מלא,נגר בנה ארון ספרים מעוצב עץ מלא
החשמלאי חיבר חוטים ללוח חשמל בבניין חדש,חשמלאי חיבר חוטים לוח חשמל בניין חדש
האינסטלטור התקין ברז חדש בחדר אמבטיה בבית מלון,אינסטלטור התקין ברז חדש חדר אמבטיה בית מלון
המתכנת תיקן באג בתוכנה חדשה לחברה גדולה,מתכנת תיקן באג תוכנה חדשה חברה גדולה
המהנדס תכנן גשר תלוי מעל נהר רחב בצפון,מהנדס תכנן גשר תלוי נהר רחב צפון
האדריכל תכנן בית עם נוף לים בחיפה,אדריכל תכנן בית נוף ים חיפה
השופט פסק דין בתיק מורכב היום בתל אביב,שופט פסק דין תיק מורכב היום תל אביב
העורך ערך כתבות למהדורה מיוחדת בעיתון ארצי,עורך ערך כתבות מהדורה מיוחדת עיתון ארצי
הצלם צילם תמונות לאלבום חתונה בירושלים,צלם צילם תמונות אלבום חתונה ירושלים
הילד טיפס על עץ גבוה בגינה,ילד טיפס עץ גבוה גינה
האישה סיימה את העבודה בזמן,אישה סיימה עבודה זמן
הנהג החנה את האוטובוס בתחנה,נהג החנה אוטובוס תחנה
התלמידים הכינו מצגת על היסטוריה,תלמידים הכינו מצגת היסטוריה
השכנים ארגנו פיקניק בפארק,שכנים ארגנו פיקניק פארק
הזמר שר דואט עם זמרת מפורסמת,זמר שר דואט זמרת מפורסמת
האופה הכין עוגה ללא גלוטן,אופה הכין עוגה ללא גלוטן
הטבח הגיש סלט ירקות טרי,טבח הגיש סלט ירקות טרי
הספרן סידר ספרים על מדפים,ספרן סידר ספרים מדפים
החשמלאי התקין מאוורר תקרה,חשמלאי התקין מאוורר תקרה
האינסטלטור תיקן נזילה בצינור מים,אינסטלטור תיקן נזילה צינור מים
המתכנת פיתח תוכנה חדשה לחברה,מתכנת פיתח תוכנה חדשה חברה
השופט גזר עונש על הנאשם בבית משפט,שופט גזר עונש נאשם בית משפט
העורך ערך כתבה על אירוע חדשותי,עורך ערך כתבה אירוע חדשותי
הצלם צילם תמונות של בעלי חיים,צלם צילם תמונות בעלי חיים
המעצב עיצב לוגו חדש למותג,מעצב עיצב לוגו חדש מותג
המוכר מכר מוצרים בהנחה מיוחדת,מוכר מכר מוצרים הנחה מיוחדת
